"Marca temporal","1.- ¿De dónde eres?","2.- ¿Cuántos años tienes?","3.- ¿Estudias?","4.- ¿Trabajas?","5.- ¿Cuál es tu nivel de conocimiento en Python?","6.- ¿Qué tema relacionado con Python te gustaría aprender?","7.- ¿Has participado en algún curso anteriormente en el IA Center?","8.- ¿Cuál es tu canción favorita?"
"2023/06/27 7:46:10 p. m. GMT-6","San Francisco de los Romo, Aguascalientes","Entre 18 y 20","Sí","No","Básico","Librerias con aplicaciones en el mundo de las matemáticas.","No","Inolvidable - Luis Miguel"
"2023/06/27 7:46:14 p. m. GMT-6","Chihuahua","Entre 18 y 20","Sí","Sí","Básico","desarrollo","No","Last Call"
"2023/06/27 7:46:28 p. m. GMT-6","Ciudad Juárez","Entre 21 y 24","Sí","No","Básico","Procesamiento de datos","Sí","Lacrimosa- Matt Kent, Amber Dawn"
"2023/06/27 7:46:32 p. m. GMT-6","Zacatecas ","Entre 25 y 29","Sí","Sí","Básico","Apis","Sí","All the small things"
"2023/06/27 7:46:37 p. m. GMT-6","Ciudad Juarez","Entre 21 y 24","Sí","Sí","Básico","MachineLearning","No","Like I Love You - Justin Timberlake"
"2023/06/27 7:49:23 p. m. GMT-6","Ciudad Juárez","Entre 18 y 20","Sí","No","Básico","Ciencia de Datos y automatización","Sí","Cold Heart - PNAU REMIX Elton Jhon, Dua Lipa"
"2023/06/27 7:51:23 p. m. GMT-6","Ciudad Juarez","Entre 25 y 29","Sí","Sí","Intermedio","ciencia de datos, webscraping","Sí","Gorillaz - On Melancholy Hill"
"2023/06/27 7:55:00 p. m. GMT-6","Veracruz, estudio en Puebla","Entre 25 y 29","Sí","No","Básico","Lo relacionado con análisis de datos.","Sí","En este momento Los Años Maravillosos de Little Jesus "
"2023/06/27 8:05:42 p. m. GMT-6","CDMX","Entre 25 y 29","No","Sí","Básico","web scraping","No","Young Turks"
"2023/06/27 8:22:29 p. m. GMT-6","Estado de Mexico","Entre 21 y 24","Sí","Sí","Básico","librerias, bloques paquetes etc....","No","the weeknd- Out of time"
"2023/06/27 10:02:11 p. m. GMT-6","Ciudad Juarez, Chih","Entre 21 y 24","No","Sí","Básico","Analisis de datos","Sí","https://youtu.be/BGVUiMskx_U"
"2023/06/27 10:31:28 p. m. GMT-6","cd juarez","Entre 21 y 24","Sí","Sí","Básico","punteros","Sí","porter guiame quetzal "
"2023/06/28 10:12:04 p. m. GMT-6","Chihuahua","Entre 21 y 24","No","Sí","Básico","Machine Learning y Deep Learning","Sí","Runaway"
"2023/06/29 2:00:51 a. m. GMT-6","Vivo en Ciudad Juárez. Soy cubana","Más de 30","Sí","No","Intermedio","Cómo escribir un código de forma profesional, utilizando las herramientas necesarias y óptimas","No","Hay varias, pero últimamente escucho mucho ""Cuba Isla Bella"""
"2023/07/03 1:55:24 p. m. GMT-6","Ciudad Juarez","Más de 30","No","Sí","Intermedio","Automatizacion","No","David Bowie - Heroes "
